,company,ADDRESS,INBUILDING,EXTBUILDING,POILOGISTIC,ZONE,HOUSENUM,ROADNAME,POBOX,ZIPCODE,CITY,COUNTRY,ADDITIONAL
44,PERRENOT VITROLLES TRANSPORTS MAZZETTI,30 AV DE ROME ZI LES ESTROUBLANS 13127 VITROLLES FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
45,SARL SERVICES RAPIDES HSL- INNOVIA,65 CHE DE FENOUILLET 31200 TOULOUSE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
46,DACHSER FRANCE,AV DE LA VALLEE D OSSAU ZONE INDUSTRIELLE 64121 SERRES CASTET FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
47,A-S-M TRANSPORTS,253 RUE RABELAIS 13016 MARSEILLE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
48,SADT STOCKAGE AFFRETEMENT DISTRIBUTION TRANSPORTS,RTE D'HERZEELE 59470 BAMBECQUE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
49,SOTRAMI S.E TRANSPORTS MILLER,9 RUE DES MARLIS ZONE ARTISANALE 08300 ACY ROMANCE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
50,S.T.D.N,22 RTE DE FEROLLES ZAC TUBOEUF 77170 BRIE COMTE ROBERT FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
51,BBL SHIPPING BBL TRANSPORT,162 BOULEVARD DANIELLE CASANOVA 13014 MARSEILLE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
52,TRANSPORTS MAILLET,2 RUE JACQUES GODDET 87280 LIMOGES FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
53,CALBERSON ILE DE FRANCE GEODIS CALBERSON,7 RTE DES MERCIERES 92230 GENNEVILLIERS FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
54,R. BLANCHET TRANSPORTS R. BLANCHET,ZONE INDUSTRIELLE 51230 CONNANTRE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
55,LE CALVEZ SURGELES,4 IMP JACQUES DAGUERRE 82000 MONTAUBAN FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
56,OLLIER MATERIAUX,ZA DE PIROLLES 43590 BEAUZAC FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
57,TRANSPORTS FOURNIE,29 CHE DU CHAPITRE 31100 TOULOUSE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
58,KEOLIS VAL-HAINAUT CARS VALENCIENNOIS,36 RUE ERNEST MACAREZ 59300 VALENCIENNES FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
59,TFS FRANCE,RUE RENE CASSIN ZAC DE LA VILLETTE AUX AULNES 77290 MITRY MORY,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
60,DEBEAUX TRANSIT,3 RUE DU PIED SEC BP 18186 95702 ROISSY EN FRANCE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
61,SOC TRANSPORTS VEHICULES AUTOMOBILES,CHE DE LA GAZETTE CAMP DEL PLA 66160 LE BOULOU FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
62,MAINCO,PARC ACTIVITES PORTE SUD 30130 PONT SAINT ESPRIT FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
63,STEF LOGISTIQUE ALSACE,RUE DES ENTREPOTS 67116 REICHSTETT FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
64,DAHER TECHNOLOGIES,CHEMIN D ULIET 31700 CORNEBARRIEU FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
65,BOURIN,4 AV DU CANAL DU BERRY 03100 MONTLUCON FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
66,A. ROULAUD ET FILS ROULAUD TRANSPORTS,3 RUE DE LA PROMENADE 87310 SAINT LAURENT SUR GORRE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
67,SFTGF S.F.T GONDRAND FRERES,10 ALL DE LA FALGAYLARIE 81200 AUSSILLON FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
68,SMTRT SOCIETE MONTARGOISE TRANSPORTS ROUTIERS TRANSIT,400 RUE DES MERISIERS PARC D' ACTIVITES ARBORIA 45700 PANNES FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
69,TRANSPORTS MATHIEU TRANSPORTS MATHIEU S.A.,79 RUE JULES GUESDE ZI LA MOUCHE 69230 SAINT GENIS LAVAL FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
70,DACHSER FRANCE,286 RUE JEAN PROUVE ZI FLEVILLE SUD 54710 FLEVILLE DEVANT NANCY FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
71,DACHSER FRANCE,44 BD DE THIBAUD 31100 TOULOUSE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
72,L'ALSACIENNE DE DEMENAGEMENT,51 RUE DU RHIN 67115 PLOBSHEIM,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
73,SFTGF S.F.T GONDRAND FRERES,31 RUE DE BAYONNE 67100 STRASBOURG FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
74,MORIN LOGISTIC,14 IMP DU ROUSSILLON ZI CHESNES LA NOIREE 38070 SAINT QUENTIN FALLAVIER FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
75,MORAUD DISTRIBUTION LOGISTIQUE,370 BD ALFRED DANEY 33300 BORDEAUX FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
76,COLITEL,BD GEORGES POMPIDOU 06200 NICE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
77,CMA INTERNATIONAL,RUE DU MORELLON 38070 SAINT QUENTIN FALLAVIER FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
78,S.I.T.S SITS,33 RUE DES FRERES PEUGEOT 68127 SAINTE CROIX EN PLAINE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
79,SOC VIROISE LEVAGE TRANSPORTS SPECIAUX,AV DE BISCHWILLER ZONE INDUSTRIELLE EST 14500 VIRE NORMANDIE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
80,GONNET SA,RTE DE L ISLE D ESPAGNAC ZI 16160 GOND PONTOUVRE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
81,CORSI FRANCE INTERNATIONAL TRANSPORT,RTE DE BAR LE DUC ZONE ART 52100 BETTANCOURT LA FERREE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
82,PERRENOT BELFORT,ZONE INDUSTRIELLE 90140 BOUROGNE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
83,ROCCA SAS,VOIE D ESPAGNE ZAC DE L'ANJOLY 13127 VITROLLES FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
84,PERRENOT MUNSTER,ZAC DES PEYRARDES ZAC 42170 SAINT JUST SAINT RAMBERT FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
85,EURL SERGE THIERRY EURL SERGE THIERRY,18 BD BEAUSEJOUR 33500 LIBOURNE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
86,ABLO COOP ABLO TRANSPORT,9 RUE DU PROGRES 69800 SAINT PRIEST FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
87,M DAVID PECH,RUEYRES 81600 SENOUILLAC FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
