,company,Address,INBUILDING,EXTBUILDING,POILOGISTIC,ZONE,HouseNum,RoadName,POBOX,zipcode,city,CEDEX,ADDITIONAL,country,codeDep
862,SDV LOGISTIQUE INTERNATIONALE,ZONE INDUSTRIELLE DE CALOUET BP 652 22606 LOUDEAC FRANCE,NONE,NONE,NONE,ZONE INDUSTRIELLE DE CALOUET,NONE,NONE,BP 652,22606,LOUDEAC,NONE,NONE,FRANCE,22
863,JF HILLEBRAND COGNAC,1 RUE SAMUEL DE CHAMPLAIN BP 05 16100 COGNAC FRANCE,NONE,NONE,NONE,NONE,1,RUE SAMUEL DE CHAMPLAIN,BP 05,16100,COGNAC,NONE,NONE,FRANCE,16
864,DANZAS AEI INTERCONTINENTAL,LES DOCKS ATRIUM 10.4 10 PLACE DE LA JOLIETTE 13002 MARSEILLE FRANCE,NONE,LES DOCKS ATRIUM 10.4,NONE,NONE,10,PLACE DE LA JOLIETTE,NONE,13002,MARSEILLE,NONE,NONE,FRANCE,13
865,TEXTILES ITTAH SARL,30 RUE BEAUREGARD 75002 PARIS FRANCE,NONE,NONE,NONE,NONE,30,RUE BEAUREGARD,NONE,75002,PARIS,NONE,NONE,FRANCE,75
866,DSV AIR&SEA SAS,LES DOCKS ATRIUM 10.2 10 PLACE DE LA JOLIETTE BP 23 13567 MARSEILLE FRANCE,NONE,LES DOCKS ATRIUM 10.2,NONE,NONE,10,PLACE DE LA JOLIETTE,BP 23,13567,MARSEILLE,NONE,NONE,FRANCE,13
867,CAMEXIM COMINSER,4 RUE GEORGES CUVIER 37550 SAINT AVERTIN FRANCE,NONE,NONE,NONE,NONE,4,RUE GEORGES CUVIER,NONE,37550,SAINT AVERTIN,NONE,NONE,FRANCE,37
868,DOLE EUROPE COMPANY,4 RUE ARSENE HOUSSAYE 75008 PARIS FRANCE,NONE,NONE,NONE,NONE,4,RUE ARSENE HOUSSAYE,NONE,75008,PARIS,NONE,NONE,FRANCE,75
869,SEARUNNER FRANCE SARL,IMMEUBLE VERMEER 37 RUE ADAM LEDOUX 92400 COURBEVOIE FRANCE,NONE,IMMEUBLE VERMEER,NONE,NONE,37,RUE ADAM LEDOUX,NONE,92400,COURBEVOIE,NONE,NONE,FRANCE,92
870,SDV CHARTRES,ZONE INDUSTRIELLE 3 ROCADE SUD RUE RENE CASSIN BP 823 28000 CHARTRES FRANCE,NONE,NONE,NONE,ZONE INDUSTRIELLE 3 ROCADE SUD ,NONE,RUE RENE CASSIN ,BP 823,28000,CHARTRES,NONE,NONE,FRANCE,28
871,BLUE WATER SHIPPING,35 COURS PIERRE PUGET 13006 MARSEILLE FRANCE,NONE,NONE,NONE,NONE,35,COURS PIERRE PUGET,NONE,13006,MARSEILLE,NONE,NONE,FRANCE,13
872,SDV LYON CTM,38 AVENUE DES FRERES MONTGOLFIER 69680 CHASSIEU FRANCE,NONE,NONE,NONE,NONE,38,AVENUE DES FRERES MONTGOLFIER,NONE,69680,CHASSIEU,NONE,NONE,FRANCE,69
873,TTA,BATIMENT A1 6 ROUTE DE BASSIN N1 92230 GENNEVILLIERS FRANCE,NONE,BATIMENT A1,NONE,NONE,6,ROUTE DE BASSIN N1 ,NONE,92230,GENNEVILLIERS,NONE,NONE,FRANCE,92
874,RHODIA,85 AVENUE VICTOR HUGO 92563 RUEIL MALMAISON FRANCE,NONE,NONE,NONE,NONE,85,AVENUE VICTOR HUGO,NONE,92563,RUEIL MALMAISON,NONE,NONE,FRANCE,92
875,MONTOISE DU BOIS SA,59BIS AVENUE DE SABRES 40005 MONT DE MARSAN FRANCE,NONE,NONE,NONE,NONE,59BIS,AVENUE DE SABRES,NONE,40005,MONT DE MARSAN,NONE,NONE,FRANCE,40
876,GEODIS OVERSEAS,ZONE D2A RUE SAINT EXUPERY 44860 SAINT AIGNAN DE GRAND LIEU FRANCE,NONE,NONE,NONE,ZONE D2A,NONE,RUE SAINT EXUPERY,NONE,44860,SAINT AIGNAN DE GRAND LIEU,NONE,NONE,FRANCE,44
877,EXTERIORS PACKING SHIPPING,850 CHEMIN DU FERRANDOU 06250 MOUGINS FRANCE,NONE,NONE,NONE,NONE,850,CHEMIN DU FERRANDOU,NONE,6250,MOUGINS,NONE,NONE,FRANCE,6
878,DSV AIR & SEA SA,'37-39 RUE DE L''OUEST BP 249 59100 ROUBAIX CEDEX FRANCE',NONE,NONE,NONE,NONE,37-39,'RUE DE L''OUEST',BP 249,59100,ROUBAIX,CEDEX,NONE,FRANCE,59
879,DSV AIR & SEA SA,7 RUE DU PORT B.P. 62 21600 LONGVIC CEDEX FRANCE,NONE,NONE,NONE,NONE,7,RUE DU PORT,B.P. 62,21600,LONGVIC,CEDEX,NONE,FRANCE,21
880,TRAN SCORP INTERNATIONAL,CHCI 182 QUAI GEORGE V 76600 LE HAVRE FRANCE,NONE,CHCI,NONE,NONE,182,QUAI GEORGE V,NONE,76600,LE HAVRE,NONE,NONE,FRANCE,76
881,DHL GLOBAL FORWARDING SAS,ZONE INDUSTRIELLE 4 RUE DU PAQUIER 21600 LONGVIC FRANCE,NONE,NONE,NONE,ZONE INDUSTRIELLE,4,RUE DU PAQUIER,NONE,21600,LONGVIC,NONE,NONE,FRANCE,21
882,JELD WEN FRANCE,35 AVENUE DE LA TENAREZE 32800 EAUZE FRANCE,NONE,NONE,NONE,NONE,35,AVENUE DE LA TENAREZE,NONE,32800,EAUZE,NONE,NONE,FRANCE,32
883,DHL GLOBAL FORWARDING SAS,28 RUE EUGENE HERNAFF 69200 LYON VENISSIEUX FRANCE,NONE,NONE,NONE,NONE,28,RUE EUGENE HERNAFF,NONE,69200,LYON VENISSIEUX,NONE,NONE,FRANCE,69
884,AIT BOUKIDOUR,10 RUE PAUL DELOUVRIER 77600 BUSSY SAINT GEORGES FRANCE,NONE,NONE,NONE,NONE,10,RUE PAUL DELOUVRIER,NONE,77600,BUSSY SAINT GEORGES,NONE,NONE,FRANCE,77
885,SCHENKER S.A.S.,22 RUE CHARLES TELLIER 31014 MARSEILLE FRANCE,NONE,NONE,NONE,NONE,22,RUE CHARLES TELLIER,NONE,31014,MARSEILLE,NONE,NONE,FRANCE,13
886,JV OWL-CROSSLINKS,35 RUE DU 129E R.I 76600 LE HAVRE FRANCE,NONE,NONE,NONE,NONE,35,RUE DU 129E R.I,NONE,76600,LE HAVRE,NONE,NONE,FRANCE,76
887,CARGOLINES,47BIS BOULEVARD DE GRAVILLE BP 113 76600 LE HAVRE FRANCE,NONE,NONE,NONE,NONE,47BIS,BOULEVARD DE GRAVILLE,BP 113,76600,LE HAVRE,NONE,NONE,FRANCE,76
888,DAHER,BATIMENT 528 1 ALLEE MARYSE BASTIE 91325 WISSOUS FRANCE,NONE,BATIMENT 528,NONE,NONE,1,ALLEE MARYSE BASTIE,NONE,91325,WISSOUS,NONE,NONE,FRANCE,94
889,ELECTROLUX MOTOCULTURE SAS,54 RUE LAMBRECHTS 92400 COURBEVOIE FRANCE,NONE,NONE,NONE,NONE,54,RUE LAMBRECHTS,NONE,92400,COURBEVOIE,NONE,NONE,FRANCE,92
890,ELECTROLUX LAUNDRY SYSTEMS FRANCE SNC,21 RUE PASTEUR BP 6 10430 ROSIERES FRANCE,NONE,NONE,NONE,NONE,21,RUE PASTEUR,BP 6,10430,ROSIERES,NONE,NONE,FRANCE,10
891,JAS AIR CARGO,AEROPORT MARSEILLE PROVENCE ZONE DE PRET 13129 MARSEILLE FRANCE,NONE,NONE,AEROPORT MARSEILLE PROVENCE,ZONE DE PRET,NONE,NONE,NONE,13129,MARSEILLE,NONE,NONE,FRANCE,13
892,JAS FRANCE,CHCI 182 QUAI GEORGE V 76600 LE HAVRE FRANCE,NONE,CHCI,NONE,NONE,182,QUAI GEORGE V,NONE,76600,LE HAVRE,NONE,NONE,FRANCE,76
893,JAS FRANCE,APPARTEMENT LYON SAINT EXUPERY BATIMENT SFS EXPORT ZONE DE FRET BP 519 69125 LYON FRANCE,APPARTEMENT LYON SAINT EXUPERY ,BATIMENT SFS EXPORT,NONE,ZONE DE FRET,NONE,NONE,BP 519,69125,LYON,NONE,NONE,FRANCE,69
894,MD SIGRIST LOGISTICS,22 BOULEVARD PEPIN 13008 MARSEILLE FRANCE,NONE,NONE,NONE,NONE,22,BOULEVARD PEPIN,NONE,13008,MARSEILLE,NONE,NONE,FRANCE,13
895,DANZAS,24 RUE DE GUERLANDE 71880 CHATENOY LE ROYAL FRANCE,NONE,NONE,NONE,NONE,24,RUE DE GUERLANDE,NONE,71880,CHATENOY LE ROYAL,NONE,NONE,FRANCE,71
896,ELECTROLUX LOGISTICS SAS,ZONE INDUSTRIELLE MOIMONT II 2 RUE EUGENE POTTIER 95670 MARLY LA VILLE FRANCE,NONE,NONE,NONE,ZONE INDUSTRIELLE MOIMONT II,2,RUE EUGENE POTTIER,NONE,95670,MARLY LA VILLE,NONE,NONE,FRANCE,95
897,GEODIS BM ALSACE,'C/O DOW AGROSCIENCES EXPORT SASMARCO ZAC DU FONT DE L''ORME DONAT 790 AVENUE DU DR MAURICE DONAT 06250 MOUGINS FRANCE',NONE,NONE,NONE,'ZAC DU FONT DE L''ORME DONAT',790,AVENUE DU DR MAURICE DONAT,NONE,6250,MOUGINS,NONE,C/O DOW AGROSCIENCES EXPORT SASMARCO,FRANCE,6
898,SDV ATT DPT,'PARC D''ACTIVITE DES BELLEVUES 2 AVENUE DES BELLEVUES BP 61 95310 ERAGNY FRANCE',NONE,NONE,NONE,'PARC D''ACTIVITE DES BELLEVUES ',2,AVENUE DES BELLEVUES,BP 61,95310,ERAGNY,NONE,NONE,FRANCE,95
899,GEODIS WILSON NANTES,AEROPORT NANTES ATLANTIQUE ZONE DE FRET 44346 BOUGUENAIS FRANCE,NONE,NONE,AEROPORT NANTES ATLANTIQUE,ZONE DE FRET,NONE,NONE,NONE,44346,BOUGUENAIS,NONE,NONE,FRANCE,44
900,HBI LE HAVRE,101 BOULEVARD DE STRASBOURG 76600 LE HAVRE FRANCE,NONE,NONE,NONE,NONE,101,BOULEVARD DE STRASBOURG,NONE,76600,LE HAVRE,NONE,NONE,FRANCE,76
901,SDV,BATIMENT A1 6 ROUTE DU BASSIN NUMERO 1 92230 GENNEVILLIERS FRANCE,NONE,BATIMENT A1,NONE,NONE,6,ROUTE DU BASSIN NUMERO 1,NONE,92230,GENNEVILLIERS,NONE,NONE,FRANCE,92
902,GONDRAND DUNKERQUE,11/19 QUAI DU RISBAN BP 3513 59383 COUDEKERQUE BRANCHE FRANCE,NONE,NONE,NONE,NONE,11/19,QUAI DU RISBAN,BP 3513,59383,COUDEKERQUE BRANCHE,NONE,NONE,FRANCE,59
903,SCHENKER S.A.S.,'CITE DE RONCQ 47 AVENUE DE L''EUROPE 59223 RONCQ CEDEX FRANCE',NONE,NONE,NONE,CITE DE RONCQ,47,'AVENUE DE L''EUROPE',NONE,59223,RONCQ,CEDEX,NONE,FRANCE,59
904,SCHENKER S.A.S.,1 QUAI DE FRANCE BP 3052X 76100 ROUEN FRANCE,NONE,NONE,NONE,NONE,1,QUAI DE FRANCE,BP 3052X,76100,ROUEN,NONE,NONE,FRANCE,76
905,SCHENKER S.A.S.,'7 RUE D''ITALIE BP 61 69780 MIONS FRANCE',NONE,NONE,NONE,NONE,7,'RUE D''ITALIE',BP 61,69780,MIONS,NONE,NONE,FRANCE,69
906,GTL INTERNATIONAL S.A.,220 RUE DU POMMARIN 38430 MOIRANS FRANCE,NONE,NONE,NONE,NONE,220,RUE DU POMMARIN,NONE,38430,MOIRANS,NONE,NONE,FRANCE,38
907,ZIEGLER,ZONE INDUSTRIELLE COMBAUDE SUD EST 4 RUE COSTES ET BELLONTE 63100 CLERMONT FERRAND FRANCE,NONE,NONE,NONE,ZONE INDUSTRIELLE COMBAUDE SUD EST,4,RUE COSTES ET BELLONTE,NONE,63100,CLERMONT FERRAND,NONE,NONE,FRANCE,63
908,KUEHNE & NAGEL,AEROGARE DE FRET AEROPORT LYON SAINT EXUPERY BP 329 69125 LYON FRANCE,NONE,NONE,AEROGARE DE FRET AEROPORT LYON SAINT EXUPERY,NONE,NONE,NONE,BP 329,69125,LYON,NONE,NONE,FRANCE,69
909,VEOLIA PROPRETE SA,30 RUE PROUDHON 93210 LA PLAINE SAINT DENIS FRANCE,NONE,NONE,NONE,NONE,30,RUE PROUDHON,NONE,93210,LA PLAINE SAINT DENIS,NONE,NONE,FRANCE,93
910,KUEHNE & NAGEL,16 RUE DE RHEINFELD BP 78 67100 STRASSBOURG FRANCE,NONE,NONE,NONE,NONE,16,RUE DE RHEINFELD,BP 78,67100,STRASSBOURG,NONE,NONE,FRANCE,67
911,COFRANLAIT,'66 RUE DE LA CHAUSSEE D''ANTIN 75009 PARIS FRANCE',NONE,NONE,NONE,NONE,66,'RUE DE LA CHAUSSEE D''ANTIN',NONE,75009,PARIS,NONE,NONE,FRANCE,75
912,SEAFOODEXPORT,8 BOULEVARD EDOUARD HERRIOT 13008 MARSEILLE FRANCE,NONE,NONE,NONE,NONE,8,BOULEVARD EDOUARD HERRIOT,NONE,13008,MARSEILLE,NONE,NONE,FRANCE,13
913,UTI FRANCE,ROUTE DE LA BREQUE 76600 LE HAVRE FRANCE,NONE,NONE,NONE,NONE,NONE,ROUTE DE LA BREQUE,NONE,76600,LE HAVRE,NONE,NONE,FRANCE,76
914,SOGETRA RONCQ,'BATIMENT DES TRANSITAIRES 57 AVENUE DE L''EUROPE 59223 RONCQ FRANCE',NONE,BATIMENT DES TRANSITAIRES,NONE,NONE,57,'AVENUE DE L''EUROPE',NONE,59223,RONCQ,NONE,NONE,FRANCE,59
915,OLIGO SA,2 CHAUSSEE DU QUAI DE MOSELLE 76600 LE HAVRE FRANCE,NONE,NONE,NONE,NONE,2,CHAUSSEE DU QUAI DE MOSELLE,NONE,76600,LE HAVRE,NONE,NONE,FRANCE,76
916,PANALPINA FRANCE TRANSPORTS INTERNATIONAUX S.A.S.,CENTRE REGIONAL DES DOUANES ET DE TRANSPORT ZONE COMMERCIALE DU GRAND EPAGNY 482 AVENUE DES ALPES 74330 EPAGNY ANNECY FRANCE,NONE,NONE,NONE,CENTRE REGIONAL DES DOUANES ET DE TRANSPORT ZONE COMMERCIALE DU GRAND EPAGNY ,482,AVENUE DES ALPES,NONE,74330,EPAGNY ANNECY,NONE,NONE,FRANCE,74
917,SDV GASNY,RUE WILLIAM DIAN BP 33 27620 GASNY FRANCE,NONE,NONE,NONE,NONE,NONE,RUE WILLIAM DIAN,BP 33 ,27620,GASNY,NONE,NONE,FRANCE,27
918,MULTIMODAL MULTI CARGO LEADER,467 CHEMIN DU LITTORAL 13016 MARSEILLE FRANCE,NONE,NONE,NONE,NONE,467,CHEMIN DU LITTORAL,NONE,13016,MARSEILLE,NONE,NONE,FRANCE,13
919,ABX LOGISTICS INTERNATIONAL,96 AVENUE DE BROGNY 74000 ANNECY FRANCE,NONE,NONE,NONE,NONE,96,AVENUE DE BROGNY,NONE,74000,ANNECY,NONE,NONE,FRANCE,74
920,ZIEGLER,CENTRE ROUEN MULTIMARCHANDISES BP 407 76805 SAINT ETIENNE ROUVRAY FRANCE,NONE,NONE,NONE,CENTRE ROUEN MULTIMARCHANDISES,NONE,NONE,BP 407,76805,SAINT ETIENNE ROUVRAY,NONE,NONE,FRANCE,76
921,ANTHON B NILSEN S.A.S.,'29 RUE D''ASTORG 75008 PARIS FRANCE',NONE,NONE,NONE,NONE,29,'RUE D''ASTORG',NONE,75008,PARIS,NONE,NONE,FRANCE,75
922,CONFREIGHT MEDITERRANEE,ZONE INDUSTRIELLE ACTISUD 90 CHEMIN DU RUISSEAU MIRABEAU 13016 MARSEILLE FRANCE,NONE,NONE,NONE,ZONE INDUSTRIELLE ACTISUD,90,CHEMIN DU RUISSEAU MIRABEAU,NONE,13016,MARSEILLE,NONE,NONE,FRANCE,13
923,MORY EGL,CHCI 182 QUAI GEORGES V 76600 LE HAVRE FRANCE,NONE,CHCI,NONE,NONE,182,QUAI GEORGES V,NONE,76600,LE HAVRE,NONE,NONE,FRANCE,76
924,DANZAS S.A.,7 RUE ALBERT THOMAS 25003 BESANCON FRANCE,NONE,NONE,NONE,NONE,7,RUE ALBERT THOMAS,NONE,25003,BESANCON,NONE,NONE,FRANCE,25
925,DSV AIR&SEA SAS,ZONE INDUSTRIELLE NORD 19/25 RUE AUGUSTE COMTE BP 1 575 87280 LIMOGES FRANCE,NONE,NONE,NONE,ZONE INDUSTRIELLE NORD ,19/25,RUE AUGUSTE COMTE,BP 1 575,87280,LIMOGES,NONE,NONE,FRANCE,87
926,CEVA FREIGHT MANAGEMENT FRANCE SAS,151 BOULEVARD D.CASANOVA 13014 MARSEILLE FRANCE,NONE,NONE,NONE,NONE,151,BOULEVARD D.CASANOVA,NONE,13014,MARSEILLE,NONE,NONE,FRANCE,13
927,BRAZIL GRANITE SAS,12BIS RUE MARCEL HENAUX 59240 DUNKERQUE FRANCE,NONE,NONE,NONE,NONE,12BIS,RUE MARCEL HENAUX,NONE,59240,DUNKERQUE,NONE,NONE,FRANCE,59
928,ECU LINE,151 BOULEVARD DANIELLE CASANOVA BP 341 13309 MARSEILLE FRANCE,NONE,NONE,NONE,NONE,151,BOULEVARD DANIELLE CASANOVA,BP 341,13309,MARSEILLE,NONE,NONE,FRANCE,13
929,RIDER CONCEPT,3 ALLEE JOHN ROPPER 37250 MONTBAZON FRANCE,NONE,NONE,NONE,NONE,3,ALLEE JOHN ROPPER,NONE,37250,MONTBAZON,NONE,NONE,FRANCE,37
930,BBCC IMPORT & EXPORT,36 CHEMIN DU MONNET 38340 SAINT JEAN DE MOIRANS FRANCE,NONE,NONE,NONE,NONE,36,CHEMIN DU MONNET,NONE,38340,SAINT JEAN DE MOIRANS,NONE,NONE,FRANCE,38
931,DSV AIR & SEA SA,3 PROMENADE DE LA BONNETTE F 92230 GENNEVILLIERS FRANCE,NONE,NONE,NONE,NONE,3,PROMENADE DE LA BONNETTE F,NONE,92230,GENNEVILLIERS,NONE,NONE,FRANCE,92
932,DSV AIR & SEA SA,14 AVENUE EDOUARD VAILLANT 93500 PANTIN FRANCE,NONE,NONE,NONE,NONE,14,AVENUE EDOUARD VAILLANT,NONE,93500,PANTIN,NONE,NONE,FRANCE,93
933,DANZAS S.A.,AEROGARE DE FRET AEROPORT NANTES ATLANTIQUE 44860 SAINT AIGNAN DE GRAND LIEU FRANCE,NONE,NONE,AEROGARE DE FRET AEROPORT NANTES ATLANTIQUE,NONE,NONE,NONE,NONE,44860,SAINT AIGNAN DE GRAND LIEU,NONE,NONE,FRANCE,44
934,TNT FREIGHT MANAGEMENT LE HAVRE,'69 RUE D''INGOUVILLE 76600 LE HAVRE FRANCE',NONE,NONE,NONE,NONE,69,'RUE D''INGOUVILLE',NONE,76600,LE HAVRE,NONE,NONE,FRANCE,76
935,SFT GONDRAND FRERES,45 RUE GENERAL CHANZY 76600 LE HAVRE FRANCE,NONE,NONE,NONE,NONE,45,RUE GENERAL CHANZY,NONE,76600,LE HAVRE,NONE,NONE,FRANCE,76
936,DSV AIR & SEA SA,15 RUE DE CALAIS BP 42 67100 STRASBOURG CEDEX FRANCE,NONE,NONE,NONE,NONE,15,RUE DE CALAIS,BP 42,67100,STRASBOURG,CEDEX,NONE,FRANCE,67
937,DSV AIR & SEA SA,7 RUE VAUCANSON 49100 ANGERS FRANCE,NONE,NONE,NONE,NONE,7,RUE VAUCANSON,NONE,49100,ANGERS,NONE,NONE,FRANCE,49
938,DSV AIR & SEA SAS,ZONE DE FRET 3 8 RUE DES 2 CEDRES BP 12209 95700 ROISSY EN FRANCE FRANCE,NONE,NONE,NONE,ZONE DE FRET 3 ,8,RUE DES 2 CEDRES,BP 12209,95700,ROISSY EN FRANCE,NONE,NONE,FRANCE,95
939,DANZAS S.A.,14 RUE DE LA BELLE BORNE BP 15118 95701 ROISSY EN FRANCE FRANCE,NONE,NONE,NONE,NONE,14,RUE DE LA BELLE BORNE,BP 15118 ,95701,ROISSY EN FRANCE,NONE,NONE,FRANCE,95
940,CLASQUIN FRANCE,BATIMENT 3210 ZONE DE FRET 6 20 RUE DU PAVE 95705 ROISSY EN FRANCE FRANCE,NONE,BATIMENT 3210 ,NONE,ZONE DE FRET 6,20,RUE DU PAVE,NONE,95705,ROISSY EN FRANCE,NONE,NONE,FRANCE,95
941,CLASQUIN GROUP SA,235 COURS LAFAYETTE 69451 LYON CEDEX 06 FRANCE,NONE,NONE,NONE,NONE,235,COURS LAFAYETTE,NONE,69451,LYON,CEDEX 06,NONE,FRANCE,69
942,CLASQUIN SA - GRENOBLE,14 RUE LOUIS GAGNIERE 38950 SAINT MARTIN LE VINOUX FRANCE,NONE,NONE,NONE,NONE,14,RUE LOUIS GAGNIERE,NONE,38950,SAINT MARTIN LE VINOUX ,NONE,NONE,FRANCE,38
943,CLASQUIN SA - TOULOUSE,BATIMENT EUCLIDE PARC DES ALGORITHMES 17 AVENUE DIDIER DAURAT 31700 BLAGNAC FRANCE,NONE,BATIMENT EUCLIDE,NONE,PARC DES ALGORITHMES,17,AVENUE DIDIER DAURAT,NONE,31700,BLAGNAC,NONE,NONE,FRANCE,31
944,TAPIS SAINT MACLOU,330 RUE CARNOT BP 20149 59150 WATTRELOS FRANCE,NONE,NONE,NONE,NONE,330,RUE CARNOT,BP 20149,59150,WATTRELOS,NONE,NONE,FRANCE,59
945,NECOTRANS AATA,645 RUE DES CHATAIGNIERS BP 15 45771 SARAN FRANCE,NONE,NONE,NONE,NONE,645,RUE DES CHATAIGNIERS,BP 15,45771,SARAN,NONE,NONE,FRANCE,45
946,ZIEGLER,AEROPORT NIMES GARONS BP 2 30128 GARONS FRANCE,NONE,NONE,AEROPORT NIMES GARONS,NONE,NONE,NONE,BP 2,30128,GARONS,NONE,NONE,FRANCE,30
947,ALAINE OVERSEAS,'416 QUAI JOUFFROY D''ABBANS 71000 MACON FRANCE',NONE,NONE,NONE,NONE,416,'QUAI JOUFFROY D''ABBANS',NONE,71000,MACON,NONE,NONE,FRANCE,71
948,LOGFRET,AEROPORT PARIS CHARLES DE GAULLE ZONE DE FRET 10 RUE DES DEUX CEDRES BP 10277 95704 ROISSY EN FRANCE FRANCE,NONE,NONE,AEROPORT PARIS CHARLES DE GAULLE,ZONE DE FRET,10,RUE DES DEUX CEDRES,BP 10277 ,95704,ROISSY EN FRANCE,NONE,NONE,FRANCE,95
949,IMERYS,'154 RUE DE L''UNIVERSITE 75007 PARIS FRANCE',NONE,NONE,NONE,NONE,154,'RUE DE L''UNIVERSITE',NONE,75007,PARIS,NONE,NONE,FRANCE,75
950,RENAULT SAS,860 QUAI DE STALINGRAD 92109 BOULOGNE BILLANCOURT FRANCE,NONE,NONE,NONE,NONE,860,QUAI DE STALINGRAD,NONE,92109,BOULOGNE BILLANCOURT,NONE,NONE,FRANCE,92
951,PACA-TRANS,GARE DU CANET 29 BOULEVARD FERDINAND DE LESSEPS 13014 MARSEILLE FRANCE,NONE,NONE,GARE DU CANET,NONE,29,BOULEVARD FERDINAND DE LESSEPS,NONE,13014,MARSEILLE,NONE,NONE,FRANCE,13
952,TRANSPORTS GRAVELEAU,EUROFRET 12 RUE DE BAYONNE 67100 STRASBOURG FRANCE,NONE,NONE,NONE,EUROFRET,12,RUE DE BAYONNE,NONE,67100,STRASBOURG,NONE,NONE,FRANCE,67
953,ZIEGLER,'ZONE INDUSTRIELLE DU RIED RUE DE L''INDUSTRIE 67720 HOERDT FRANCE',NONE,NONE,NONE,ZONE INDUSTRIELLE DU RIED ,NONE,'RUE DE L''INDUSTRIE',NONE,67720,HOERDT,NONE,NONE,FRANCE,67
954,SBT MARSEILLE,7 AVENUE PAUL HEROULTZU DE LA DELORME 13015 MARSEILLE FRANCE,NONE,NONE,NONE,NONE,7,AVENUE PAUL HEROULTZU DE LA DELORME,NONE,13015,MARSEILLE,NONE,NONE,FRANCE,13
955,DSV AIR&SEA SAS,BATIMENT A3 ZONE INDUSTRIELLE DE MITRY COMPANS 22 RUE HENRI BECKEREL 77290 MITRY MORY FRANCE,NONE,BATIMENT A3,NONE,ZONE INDUSTRIELLE DE MITRY COMPANS,22,RUE HENRI BECKEREL,NONE,77290,MITRY MORY,NONE,NONE,FRANCE,77
956,LU FRANCE,SERVICE CLIENTS EXPORT 3 RUE SAARINEN 94628 RUNGIS FRANCE,NONE,NONE,NONE,NONE,3,RUE SAARINEN,NONE,94628,RUNGIS,NONE,SERVICE CLIENTS EXPORT,FRANCE,94
957,CARGOLINES,IMMEUBLE JACQUES DE REMEZAN 151 AVENUE DES AYGALADES 13344 MARSEILLE FRANCE,NONE,IMMEUBLE JACQUES DE REMEZAN,NONE,NONE,151,AVENUE DES AYGALADES,NONE,13344,MARSEILLE,NONE,NONE,FRANCE,13
958,SEAFRIGO,1 RUE MICHEL ANGE 44000 SAINT NAZAIRE FRANCE,NONE,NONE,NONE,NONE,1,RUE MICHEL ANGE,NONE,44000,SAINT NAZAIRE,NONE,NONE,FRANCE,44
959,PHILIPS FRANCE,DIVISION PHILIPS CONSUMER 4 RUE DU PORT AUX VINS BP 301 92156 SURESNES FRANCE,NONE,NONE,NONE,NONE,4,RUE DU PORT AUX VINS,BP 301,92156,SURESNES,NONE,DIVISION PHILIPS CONSUMER,FRANCE,92
960,MAISON P. JOBIN & CIE,8 RUE MARECHAL-DE-LATTRE-DE-TASSIGNY BP 95 76050 LE HAVRE CEDEX FRANCE,NONE,NONE,NONE,NONE,8,RUE MARECHAL-DE-LATTRE-DE-TASSIGNY,BP 95,76050,LE HAVRE,CEDEX,NONE,FRANCE,76
961,PHILIPS DAP SA,64 RUE CARNOT 92156 SURESNES FRANCE,NONE,NONE,NONE,NONE,64,RUE CARNOT,NONE,92156,SURESNES,NONE,NONE,FRANCE,92
962,CHALLENGE INTERNATIONAL MARSEILLE,10 PLACE DE LA JOLIETTE 13002 MARSEILLE FRANCE,NONE,NONE,NONE,NONE,10,PLACE DE LA JOLIETTE,NONE,13002,MARSEILLE,NONE,NONE,FRANCE,13
963,SCHENKER FRANCE SAS,MOLE 2-3 ROUTE DU MOLE CE 214 92230 GENNEVILLIERS FRANCE,NONE,MOLE 2-3,NONE,NONE,NONE,ROUTE DU MOLE,CE 214,92230,GENNEVILLIERS,NONE,NONE,FRANCE,92
964,BLUE EAGLE,1 RUE SAMUEL DE CHAMPLAIN BP 05 16101 COGNAC FRANCE,NONE,NONE,NONE,NONE,1,RUE SAMUEL DE CHAMPLAIN ,BP 05,16101,COGNAC,NONE,NONE,FRANCE,16
965,BACARDI MARTINI PRD XP LOG,'PARC DU HODE ROUTE INDUSTRIELLE 5515 76430 SAINT VIGOR D''YMONVILLE FRANCE',NONE,NONE,NONE,PARC DU HODE ,NONE,ROUTE INDUSTRIELLE 5515,NONE,76430,'SAINT VIGOR D''YMONVILLE',NONE,NONE,FRANCE,76
966,BLUE EAGLE,RUE GASTON CHEVROLET BP 49 21202 BEAUNE FRANCE,NONE,NONE,NONE,NONE,NONE,RUE GASTON CHEVROLET,BP 49,21202,BEAUNE,NONE,NONE,FRANCE,21
967,UTI,14 RUE DE LA BELLE BORNE 95708 ROISSY EN FRANCE FRANCE,NONE,NONE,NONE,NONE,14,RUE DE LA BELLE BORNE,NONE,95708,ROISSY EN FRANCE,NONE,NONE,FRANCE,95
968,IHK LTD,8 RUE ROCHECHOUART 75009 PARIS FRANCE,NONE,NONE,NONE,NONE,8,RUE ROCHECHOUART,NONE,75009,PARIS,NONE,NONE,FRANCE,75
969,SAGA FRANCE,36-38 AVENUE DES FRERES MONGOLFIER BP 26 69682 CHASSIEU FRANCE,NONE,NONE,NONE,NONE,36-38,AVENUE DES FRERES MONGOLFIER,BP 26,69682,CHASSIEU,NONE,NONE,FRANCE,69
