,company,Address,INBUILDING,EXTBUILDING,POILOGISTIC,ZONE,HouseNum,RoadName,POBOX,zipcode,city,CEDEX,ADDITIONAL,country,codeDep
73,HERFURTH LOGISTICS LE HAVRE,93 AVENUE LUCIEN CORBEAU 76600 LE HAVRE FRANCE,NONE,NONE,NONE,NONE,93,AVENUE LUCIEN CORBEAU,NONE,76600,LE HAVRE,NONE,NONE,FRANCE,76
74,STE DES PRODUITS MARNIER-LAPOSTOLLE,91 BOULEVARD HAUSSMANN 75008 PARIS FRANCE,NONE,NONE,NONE,NONE,91,BOULEVARD HAUSSMANN,NONE,75008,PARIS,NONE,NONE,FRANCE,75
75,JF HILLEBRAND FRANCE,RUE GASTON CHEVROLET BP 49 21202 BEAUNE FRANCE,NONE,NONE,NONE,NONE,NONE,RUE GASTON CHEVROLET,BP 49,21202,BEAUNE,NONE,NONE,FRANCE,21
76,SDV CHARTRES,BATIMENT C1/C2 19-21 AVENUE GUSTAVE EIFFEL 28630 GELLAINVILLE FRANCE,NONE,BATIMENT C1/C2,NONE,NONE,19-21,AVENUE GUSTAVE EIFFEL,NONE,28630,GELLAINVILLE,NONE,NONE,FRANCE,28
77,ALBATRANS,22 RUE DES ROTONDES 71880 CHATENOY LE ROYAL FRANCE,NONE,NONE,NONE,NONE,22,RUE DES ROTONDES,NONE,71880,CHATENOY LE ROYAL,NONE,NONE,FRANCE,71
78,SDV CHOLET,'PARC D''ACTIVITES DU CORMIER 3 RUE DE LA GATINE BP 346 49303 CHOLET FRANCE',NONE,NONE,NONE,'PARC D''ACTIVITES DU CORMIER',3,RUE DE LA GATINE,BP 346,49303,CHOLET,NONE,NONE,FRANCE,49
79,GEFCO,12 COURS CDT FRATACCI 76600 LE HAVRE FRANCE,NONE,NONE,NONE,NONE,12,COURS CDT FRATACCI,NONE,76600,LE HAVRE,NONE,NONE,FRANCE,76
80,GEFCO,66/68 RUE MARCEAU 76600 LE HAVRE FRANCE,NONE,NONE,NONE,NONE,66/68,RUE MARCEAU,NONE,76600,LE HAVRE,NONE,NONE,FRANCE,76
81,EMBASSY FRANCE,BATIMENT G1 51 ROUTE PRINCIPALE DU PORT CE 128 92631 GENNEVILLIERS FRANCE,NONE,BATIMENT G1,NONE,NONE,51,ROUTE PRINCIPALE DU PORT,CE 128,92631,GENNEVILLIERS,NONE,NONE,FRANCE,92
82,SDV CTM NANTES,ZAC DU MOULIN NEUF 10222 IMPASSE AUGUSTIN FRESNEL BP 10222 44800 SAINT HERBLAIN FRANCE,NONE,NONE,NONE,ZAC DU MOULIN NEUF ,10222,IMPASSE AUGUSTIN FRESNEL,BP 10222,44800,SAINT HERBLAIN,NONE,NONE,FRANCE,44
83,GONDRAND,ZONE INDUSTRIELLE LA MOTTE NORD 26800 PORTES LES VALENCE FRANCE,NONE,NONE,NONE,ZONE INDUSTRIELLE LA MOTTE NORD,NONE,NONE,NONE,26800,PORTES LES VALENCE,NONE,NONE,FRANCE,26
84,GEODIS WILSON FRANCE,AVENUE SATOLAS GREEN 69330 PUSIGNAN FRANCE,NONE,NONE,NONE,NONE,NONE,AVENUE SATOLAS GREEN,NONE,69330,PUSIGNAN,NONE,NONE,FRANCE,69
85,PANALPINA FRANCE TRANSPORT INTERNATIONAUX OIL&GAS SAS,ZONE DE FRET NUMERO 5 6 RUE DU CHAPELIER 95700 ROISSY EN FRANCE FRANCE,NONE,NONE,NONE,ZONE DE FRET NUMERO 5,6,RUE DU CHAPELIER,NONE,95700,ROISSY EN FRANCE,NONE,NONE,FRANCE,95
86,COCA COLA MIDI SAS,PARC D�ACTIVITE DU PLATEAU AVENUE DE BERLIN 83830 SIGNES FRANCE,NONE,NONE,NONE,PARC D�ACTIVITE DU PLATEAU ,NONE,AVENUE DE BERLIN,NONE,83830,SIGNES,NONE,NONE,FRANCE,83
87,BALGUERIE,ZONE INDUSTRIELLE BORDEAUX FRET RUE BRETRAND BALGUERIE 33520 BRUGES FRANCE,NONE,NONE,NONE,ZONE INDUSTRIELLE BORDEAUX FRET,NONE,RUE BRETRAND BALGUERIE,NONE,33520,BRUGES,NONE,NONE,FRANCE,33
88,DAHER,69 RUE DE LA BELLE ETOILE 95958 ROISSY EN FRANCE FRANCE,NONE,NONE,NONE,NONE,69,RUE DE LA BELLE ETOILE,NONE,95958,ROISSY EN FRANCE,NONE,NONE,FRANCE,95
89,NEC COMPUTERS INTERNATIONAL,299 AVENUE DU GENERAL PATTON BP 645 49006 ANGERS FRANCE,NONE,NONE,NONE,NONE,299,AVENUE DU GENERAL PATTON,BP 645,49006,ANGERS,NONE,NONE,FRANCE,49
90,DHL GLOBAL FOWARDING,ETAGE 2 CARGO TERMINAL AEROPORT BALE MULHOUSE FRIBOURG ZONE DE FRET 68300 SAINT LOUIS FRANCE,ETAGE 2,NONE,CARGO TERMINAL AEROPORT BALE MULHOUSE FRIBOURG,ZONE DE FRET,NONE,NONE,NONE,68300,SAINT LOUIS,NONE,NONE,FRANCE,68
91,DHL GLOBAL FORWARDING SAS,PARC LOGISTIQUE DU PONT DE NORMANDIE BP 203 76053 ROGERVILLE CEDEX FRANCE,NONE,NONE,NONE,PARC LOGISTIQUE DU PONT DE NORMANDIE,NONE,NONE,BP 203,76053,ROGERVILLE,CEDEX,NONE,FRANCE,76
92,RHODANIENNE DE TRANSIT,205 CHEMIN DE CROISSET BP 4018 76000 ROUEN FRANCE,NONE,NONE,NONE,NONE,205,CHEMIN DE CROISSET,BP 4018,76000,ROUEN,NONE,NONE,FRANCE,76
93,LOGFRET,2 RUE NICOLAS COPERNIC 93605 AULNAY SOUS BOIS FRANCE,NONE,NONE,NONE,NONE,2,RUE NICOLAS COPERNIC,NONE,93605,AULNAY SOUS BOIS,NONE,NONE,FRANCE,93
94,FOODS SA,48 RUE MONTMARTRE 75002 PARIS FRANCE,NONE,NONE,NONE,NONE,48,RUE MONTMARTRE,NONE,75002,PARIS,NONE,NONE,FRANCE,75
95,ROHLIG FRANCE S.A,BATIMENT FRET DES TRANSITAIRES LOCAL OJA 1050 AEROPORT BORDEAUX MERIGNAC 33700 MERIGNAC FRANCE,NONE,BATIMENT FRET DES TRANSITAIRES LOCAL OJA 1050,AEROPORT BORDEAUX MERIGNAC,NONE,NONE,NONE,NONE,33700,MERIGNAC,NONE,NONE,FRANCE,33
96,ROHLIG FRANCE S.A,IMMEUBLE A2 DOMAINE DE PELUS 10 AVENUE DE PYTHAGORE 33700 MERIGNAC FRANCE,NONE,IMMEUBLE A2,NONE,DOMAINE DE PELUS,10,AVENUE DE PYTHAGORE,NONE,33700,MERIGNAC,NONE,NONE,FRANCE,33
97,CLASQUIN SA - TOURS,C/O TRANSPORT LEBERRE ZAC DE LA LIODIERE 37300 JOUE LES TOURS FRANCE,NONE,NONE,NONE,ZAC DE LA LIODIERE,NONE,NONE,NONE,37300,JOUE LES TOURS,NONE,C/O TRANSPORT LEBERRE,FRANCE,37
98,FAUVEDER,101 BOULEVARD DE STRASBOURG 76600 LE HAVRE FRANCE,NONE,NONE,NONE,NONE,101,BOULEVARD DE STRASBOURG,NONE,76600,LE HAVRE,NONE,NONE,FRANCE,76
99,A.HARTRODT FRANCE SASU,TOUR ROSNY 2 AVENUE DU GENERAL DE GAULLE 93118 ROSNY SOUS BOIS FRANCE,NONE,TOUR ROSNY,NONE,NONE,2,AVENUE DU GENERAL DE GAULLE,NONE,93118,ROSNY SOUS BOIS,NONE,NONE,FRANCE,93
100,ALBATRANS,BATIMENT 5 ZONE DE BORDEAUX FRET RUE DE ROTTERDAM 33521 BRUGES FRANCE,NONE,BATIMENT 5,NONE,ZONE DE BORDEAUX FRET,NONE,RUE DE ROTTERDAM ,NONE,33521,BRUGES,NONE,NONE,FRANCE,33
101,DSV AIR&SEA SAS,IMMEUBLE LE CONCORDE 1 RUE CHARLES LINDBERGH 44346 BOUGUENAIS FRANCE,NONE,IMMEUBLE LE CONCORDE,NONE,NONE,1,RUE CHARLES LINDBERGH,NONE,44346,BOUGUENAIS,NONE,NONE,FRANCE,44
102,DORLYL SNC,297 RUE DES CHANTIERS BP 1152 76063 LE HAVRE FRANCE,NONE,NONE,NONE,NONE,297,RUE DES CHANTIERS,BP 1152,76063,LE HAVRE,NONE,NONE,FRANCE,76
